CONTINENT,SIZE,country,gppd_idnr,name,capacity_m,commission,T1__6_year,T2__3_year,latitude,longitude
South America,Small,ARG,ARG0000271,SALTO ANDERSEN,7.9,2012,2006,2015,-38.8244,-64.8296
South America,Medium,ARG,ARG0000296,CH LOS CARACOLES,121.4,2009,2003,2012,-31.5192,-68.9814
South America,Medium,BRA,BRA0000012,14 de Julho,100.71,2008,2002,2011,-29.0648,-51.6749
South America,Large,BRA,BRA0000042,Aimorés,330,2005,2002,2008,-19.4983,-41.0236
South America,Small,BRA,BRA0000161,ARS,6.66,2009,2003,2012,-13.0992,-54.8189
South America,Medium,BRA,BRA0000215,Barra do BraÃºna,39,2009,2003,2012,-21.45,-42.4
South America,Medium,BRA,BRA0000291,Bonfante,19,2008,2002,2011,-22.0089,-43.2653
South America,Small,BRA,BRA0000345,Caboclo,4.16,2014,2008,2017,-20.495,-43.4828
South America,Medium,BRA,BRA0000718,Castro Alves,130.845,2008,2002,2011,-29.0083,-51.3792
South America,Small,BRA,BRA0000868,CorumbataÃ­,1.7,2008,2002,2011,-22.4833,-47.6
South America,Small,BRA,BRA0001025,GaviÃ£o Peixoto,4.8,2007,2001,2010,-21.85,-48.5167
South America,Large,BRA,BRA0001146,Irapé,399,2006,2002,2009,-16.7381,-42.5747
South America,Medium,BRA,BRA0001147,Irara,30,2008,2002,2011,-18.0833,-51.1667
South America,Medium,BRA,BRA0001498,Monte Serrat,25,2009,2003,2012,-22.0197,-43.3022
South America,Medium,BRA,BRA0001959,Paracambi,25,2012,2006,2015,-22.6833,-43.7667
South America,Medium,BRA,BRA0002045,Pery,30,2013,2007,2016,-27.4578,-50.6406
South America,Small,BRA,BRA0002054,Picada 48,1.4014,2012,2006,2015,-29.5833,-51.1278
South America,Medium,BRA,BRA0002069,Pipoca,20,2010,2004,2013,-19.75,-41.7667
South America,Medium,BRA,BRA0002133,Angelina (Antiga Portobello - Corredeira do Encano),26.29,2010,2004,2013,-27.4547,-48.9828
South America,Medium,BRA,BRA0002547,Rondon,13,2011,2005,2014,-12.9036,-58.9128
South America,Small,BRA,BRA0002570,SalesÃ³polis,1,2008,2002,2011,-23.5633,-45.8364
South America,Small,BRA,BRA0002707,SÃ£o Valentim,1.45,2009,2003,2012,-21.7433,-47.4189
South America,Medium,BRA,BRA0002754,SÃ­tio Grande,25,2010,2004,2013,-12.4167,-45.1167
South America,Medium,BRA,BRA0026732,Santa Rosa II,30,2008,2002,2011,-22.0991,-42.2669
South America,Large,BRA,BRA0026792, Santo Antonio do Jari ,373.4,2014,2011,2017,-0.65,-52.5167
South America,Medium,BRA,BRA0026834,SÃ£o JoÃ£o,25,2007,2001,2010,-20.5081,-41.2808
South America,Small,BRA,BRA0027066,Funil,3.6,2014,2008,2017,-20.4967,-43.4722
South America,Small,BRA,BRA0027096,SÃ£o Pedro,1.5,2007,2001,2010,-23.2744,-47.2392
South America,Medium,BRA,BRA0027448,Rondon II,73.5,2011,2005,2014,-11.9975,-60.6972
South America,Medium,BRA,BRA0027484,Amador Aguiar II (Antiga Capim Branco II),210,2007,2001,2010,-18.6597,-48.4353
South America,Medium,BRA,BRA0027530,Barra da PaciÃªncia,23,2011,2005,2014,-18.95,-42.6
South America,Small,BRA,BRA0027572,VÃ¡rzea Alegre,7.5,2011,2005,2014,-19.9861,-41.7169
South America,Small,BRA,BRA0027575,FumaÃ§a IV,4.5,2008,2002,2011,-20.7492,-41.8761
South America,Small,BRA,BRA0027576,Ninho da Ãguia,10,2011,2005,2014,-22.5,-45.3333
South America,Medium,BRA,BRA0027645,Funil,22.5,2008,2002,2011,-19.0833,-42.85
South America,Medium,BRA,BRA0027672,Calheiros,19,2008,2002,2011,-20.9847,-41.71
South America,Medium,BRA,BRA0027673,SÃ£o GonÃ§alo (Antiga Santa BÃ¡rbara),11,2010,2004,2013,-19.8167,-43.25
South America,Small,BRA,BRA0027719,Salto,4.24,2014,2008,2017,-20.4942,-43.4506
South America,Small,BRA,BRA0027728,Cocais Grande,10,2009,2003,2012,-19.5319,-42.7672
South America,Small,BRA,BRA0027729,Varginha,9,2010,2004,2013,-20.0431,-41.7478
South America,Small,BRA,BRA0027730,Cristina,3.8,2011,2005,2014,-22.1578,-45.2806
South America,Medium,BRA,BRA0027731,Carangola,15,2008,2002,2011,-20.7019,-42.0394
South America,Medium,BRA,BRA0027842,Corrente Grande,14,2011,2005,2014,-18.95,-42.5167
South America,Medium,BRA,BRA0027876,Linha EmÃ­lia,19.5,2009,2003,2012,-28.9333,-51.7667
South America,Medium,BRA,BRA0027877,CotiporÃ£,19.5,2008,2002,2011,-28.9666,-51.75
South America,Medium,BRA,BRA0027878,CaÃ§ador,22.5,2008,2002,2011,-28.7055,-51.8506
South America,Medium,BRA,BRA0027910,Areia Branca,19.8,2010,2004,2013,-19.5761,-41.8028
South America,Medium,BRA,BRA0027940,CachoeirÃ£o,27,2008,2002,2011,-19.4367,-41.6142
South America,Medium,BRA,BRA0027972,Santa Laura,15,2007,2001,2010,-26.7666,-52.3178
South America,Medium,BRA,BRA0027985,SÃ£o Joaquim,21,2008,2002,2011,-20.6131,-40.7878
South America,Medium,BRA,BRA0028171,SÃ£o SimÃ£o,27.42,2009,2003,2012,-20.6167,-41.4833
South America,Medium,BRA,BRA0028182,Santa Edwiges III,11.6,2009,2003,2012,-14.3717,-46.2914
South America,Medium,BRA,BRA0028203,Salto,19,2007,2001,2010,-15.2881,-58.7106
South America,Small,BRA,BRA0028204,Dona Maria Piana,1,2010,2004,2013,-29.2,-51.25
South America,Small,BRA,BRA0028242,Santa Terezinha,1,2009,2003,2012,-22.3128,-46.1986
South America,Medium,BRA,BRA0028352,CorumbÃ¡ III,96.447,2009,2003,2012,-16.7861,-47.9419
South America,Large,BRA,BRA0028353,Peixe Angical,498.75,2006,2002,2009,-12.2391,-48.3824
South America,Large,BRA,BRA0028354,Foz do Chapecó,855,2010,2007,2013,-27.1417,-53.0397
South America,Medium,BRA,BRA0028355,Serra do FacÃ£o,212.58,2010,2004,2013,-18.0667,-47.6667
South America,Medium,BRA,BRA0028380,Francisco Gross (Antiga Santa FÃ©),29,2009,2003,2012,-20.7,-41.5167
South America,Medium,BRA,BRA0028388,SÃ£o Domingos II,24.3,2009,2003,2012,-13.4122,-46.3692
South America,Medium,BRA,BRA0028446,Areia,11.4,2011,2005,2014,-11.6986,-46.7361
South America,Medium,BRA,BRA0028447,Ãgua Limpa,14,2010,2004,2013,-11.6922,-46.705
South America,Medium,BRA,BRA0028562,Monjolinho (Antiga Alzir dos Santos Antunes),74,2009,2003,2012,-27.3456,-52.7311
South America,Medium,BRA,BRA0028564,Salto PilÃ£o,191.89,2009,2003,2012,-27.1167,-49.5
South America,Medium,BRA,BRA0028567,SÃ£o Salvador,243.2,2009,2003,2012,-12.8098,-48.2393
South America,Medium,BRA,BRA0028653,Salto TrÃªs de Maio,20,2010,2004,2013,-8.7464,-55.0325
South America,Medium,BRA,BRA0028670,Paiol,20,2010,2004,2013,-18.5992,-41.8478
South America,Small,BRA,BRA0028671,Salto Buriti,10,2008,2002,2011,-8.7748,-54.9504
South America,Medium,BRA,BRA0028672,Salto CuruÃ¡,30,2008,2002,2011,-8.7735,-54.9572
South America,Medium,BRA,BRA0028673,UnaÃ­ Baixo,26,2012,2006,2015,-16.1833,-47.0333
South America,Medium,BRA,BRA0028715,Jararaca,28,2008,2002,2011,-28.9361,-51.4648
South America,Medium,BRA,BRA0028725,Da Ilha,26,2008,2002,2011,-28.8833,-51.45
South America,Medium,BRA,BRA0028734,Anhanguera,22.68,2010,2004,2013,-20.4667,-47.8667
South America,Medium,BRA,BRA0028737,Planalto,17,2009,2003,2012,-18.7833,-52.3833
South America,Medium,BRA,BRA0028738,Retiro,16,2014,2008,2017,-20.4363,-47.8882
South America,Medium,BRA,BRA0028747,SÃ£o Francisco,14,2010,2004,2013,-24.7331,-53.8928
South America,Medium,BRA,BRA0028748,Alto Irani,21,2008,2002,2011,-27.0094,-52.4303
South America,Medium,BRA,BRA0028752,Santa FÃ© I,30,2008,2002,2011,-22.0231,-43.1628
South America,Medium,BRA,BRA0028753,Buriti,30,2007,2001,2010,-19.3333,-52.6667
South America,Medium,BRA,BRA0028754,Plano Alto,16,2008,2002,2011,-26.9578,-52.3404
South America,Medium,BRA,BRA0028755,Arvoredo,13,2010,2004,2013,-27.0667,-52.4833
South America,Medium,BRA,BRA0028756,CaÃ§u,65,2010,2004,2013,-18.5294,-51.15
South America,Medium,BRA,BRA0028757,Barra dos Coqueiros,90,2010,2004,2013,-18.7233,-51.0031
South America,Medium,BRA,BRA0028758,Salto,116,2010,2004,2013,-18.8083,-51.1694
South America,Medium,BRA,BRA0028760,Salto do Rio Verdinho,93,2010,2004,2013,-19.1456,-50.7672
South America,Medium,BRA,BRA0028761,SÃ£o Domingos,48,2013,2007,2016,-20.0833,-53.1747
South America,Medium,BRA,BRA0028771,Retiro Velho,18,2009,2003,2012,-18.8197,-52.1775
South America,Medium,BRA,BRA0028772,BraÃ§o Norte IV,14,2007,2001,2010,-9.6833,-54.9667
South America,Medium,BRA,BRA0028782,Novo Horizonte,23,2011,2005,2014,-25.0114,-48.6222
South America,Small,BRA,BRA0028798,TudelÃ¢ndia,2.4,2010,2004,2013,-21.9253,-41.9569
South America,Medium,BRA,BRA0028800,Palmeiras,16.5,2012,2006,2015,-20.548,-47.8136
South America,Medium,BRA,BRA0028801,Ludesa,30,2007,2001,2010,-26.5778,-52.4961
South America,Medium,BRA,BRA0028802,Alto Benedito Novo I,15,2008,2002,2011,-26.7667,-49.4333
South America,Medium,BRA,BRA0028803,Goiandira,27,2010,2004,2013,-18.2167,-48.25
South America,Medium,BRA,BRA0028804,Pirapetinga,20,2009,2003,2012,-21.1208,-41.72
South America,Medium,BRA,BRA0028805,Pedra do GarrafÃ£o,19,2009,2003,2012,-21.1986,-41.3764
South America,Medium,BRA,BRA0028806,SÃ£o Tadeu I,18,2010,2004,2013,-15.7533,-55.5458
South America,Medium,BRA,BRA0028807,Piedade,21.69,2010,2004,2013,-18.6889,-49.0089
South America,Medium,BRA,BRA0028817,Alto SucuriÃº,29,2008,2002,2011,-19.245,-52.8994
South America,Medium,BRA,BRA0028819,Parecis,15.4,2011,2005,2014,-13.0742,-58.9754
South America,Medium,BRA,BRA0028820,TelegrÃ¡fica,30,2011,2005,2014,-12.8486,-58.9261
South America,Medium,BRA,BRA0028821,Sapezal,16,2011,2005,2014,-13.2656,-59.0194
South America,Medium,BRA,BRA0028822,Segredo,26.118,2013,2007,2016,-13.2295,-59.0317
South America,Small,BRA,BRA0028823,SÃ£o JosÃ©,4,2012,2006,2015,-21.9381,-46.8158
South America,Medium,BRA,BRA0028825,SÃ£o LourenÃ§o (Antiga ZÃ© Fernando),29.1,2009,2003,2012,-16.2167,-54.9333
South America,Small,BRA,BRA0028826,SÃ£o Joaquim,3,2011,2005,2014,-21.8756,-46.8864
South America,Medium,BRA,BRA0028829,MambaÃ­ II,12,2008,2002,2011,-14.6828,-46.2961
South America,Small,BRA,BRA0028830,Faxinal dos Guedes,4,2007,2001,2010,-26.7636,-52.2183
South America,Small,BRA,BRA0028831,Salto das Flores,6.7,2011,2005,2014,-26.6667,-53.6639
South America,Medium,BRA,BRA0028832,Paranatinga II,29.02,2008,2002,2011,-13.8517,-53.2558
South America,Medium,BRA,BRA0028834,JataÃ­,30,2008,2002,2011,-17.8933,-51.7233
South America,Medium,BRA,BRA0028835,Ilha Comprida,20.16,2013,2007,2016,-13.1975,-58.9839
South America,Medium,BRA,BRA0028836,Cidezal,17,2011,2005,2014,-13.37,-59.0126
South America,Small,BRA,BRA0028837,Sucupira,4.5,2008,2002,2011,-15.9919,-55.0872
South America,Small,BRA,BRA0028838,Pequi,6,2008,2002,2011,-16.0033,-55.1153
South America,Medium,BRA,BRA0028840,Primavera,24.743,2007,2001,2010,-11.9044,-61.2353
South America,Medium,BRA,BRA0028842,Mucuri,19.1,2013,2007,2016,-17.5833,-40.9833
South America,Small,BRA,BRA0028844,Santa Rosa,6.5,2013,2007,2016,-27.897,-50.2862
South America,Medium,BRA,BRA0028845,Engenheiro JosÃ© GelÃ¡sio da Rocha,24.435,2007,2001,2010,-16.7,-54.76
South America,Medium,BRA,BRA0028848,RondonÃ³polis,26.6,2007,2001,2010,-16.6694,-54.7358
South America,Small,BRA,BRA0028849,Ã‚ngelo Cassol,3.6,2011,2005,2014,-11.93,-62.1008
South America,Medium,BRA,BRA0028852,Flor do SertÃ£o,16.5,2007,2001,2010,-26.7877,-53.3942
South America,Medium,BRA,BRA0028853,Sete Quedas Alta,22,2010,2004,2013,-16.305,-55.0561
South America,Large,BRA,BRA0028863,Estreito,"1,087.00",2011,2007,2014,-6.5872,-47.4594
South America,Medium,BRA,BRA0028921,ItaguaÃ§u,14,2013,2007,2016,-24.6933,-51.5192
South America,Small,BRA,BRA0028931,Salto Donner I,1.88,2007,2001,2010,-26.7572,-49.4556
South America,Medium,BRA,BRA0028967,Marco Baldo,16.55,2011,2005,2014,-27.57,-53.7858
South America,Medium,BRA,BRA0028968,Ouro,16,2009,2003,2012,-27.6367,-51.49
South America,Medium,BRA,BRA0028969,Toca do Tigre,11.8403,2013,2007,2016,-27.5453,-53.8053
South America,Medium,BRA,BRA0028971,Santana I,14.758,2012,2006,2015,-14.3911,-56.8289
South America,Medium,BRA,BRA0028986,SÃ£o Pedro,30,2009,2003,2012,-20.325,-40.6347
South America,Small,BRA,BRA0028987,Inhapim,6,2014,2008,2017,-19.5317,-42.1231
South America,Medium,BRA,BRA0028988,Pezzi,19,2012,2006,2015,-28.7912,-50.5643
South America,Medium,BRA,BRA0028995,Porto das Pedras,28.03,2008,2002,2011,-19.4736,-52.5397
South America,Medium,BRA,BRA0028996,Santa Gabriela,24,2009,2003,2012,-17.5375,-54.4333
South America,Medium,BRA,BRA0028997,Colino 2,16,2008,2002,2011,-17.0725,-40.1047
South America,Medium,BRA,BRA0028999,Cachoeira da Lixa,14.8,2008,2002,2011,-17.0742,-40.0683
South America,Medium,BRA,BRA0029001,Palanquinho,24.165,2010,2004,2013,-28.9039,-50.8119
South America,Medium,BRA,BRA0029002,CriÃºva,23.949,2010,2004,2013,-28.9808,-50.7825
South America,Medium,BRA,BRA0029004,Colino 1,11,2008,2002,2011,-17.0778,-40.0853
South America,Medium,BRA,BRA0029013,Ponte Alta,13,2007,2001,2010,-19.4103,-54.4931
South America,Medium,BRA,BRA0029048,Divisa,10.8,2011,2005,2014,-13.3631,-59.1419
South America,Medium,BRA,BRA0029049,Ibirama,21,2010,2004,2013,-27.0372,-49.5708
South America,Medium,BRA,BRA0029057,Lagoa Grande,25.6,2008,2002,2011,-12.1525,-46.8177
South America,Small,BRA,BRA0029058,Riacho Preto,9.3,2008,2002,2011,-11.9505,-46.7555
South America,Medium,BRA,BRA0029059,Porto Franco,30,2009,2003,2012,-11.8142,-46.7831
South America,Medium,BRA,BRA0029060,Boa Sorte,16,2008,2002,2011,-11.8803,-46.7717
South America,Medium,BRA,BRA0029063,Boa FÃ©,24,2011,2005,2014,-28.7527,-51.8436
South America,Medium,BRA,BRA0029066,Nova Aurora,21,2011,2005,2014,-18.1428,-48.27
South America,Medium,BRA,BRA0029067,SÃ£o Paulo,16,2012,2006,2015,-28.7666,-51.8333
South America,Medium,BRA,BRA0029071,AutÃ³dromo,24,2011,2005,2014,-28.8258,-51.8414
South America,Medium,BRA,BRA0029072,Victor Baptista Adami (Antiga Passos Maia),25,2012,2006,2015,-26.7086,-51.9197
South America,Medium,BRA,BRA0029114,Lavrinhas,30,2011,2005,2014,-22.5667,-44.8631
South America,Medium,BRA,BRA0029115,Queluz,30,2011,2005,2014,-22.55,-44.8
South America,Medium,BRA,BRA0029118,Pontal do Prata,13.774,2012,2006,2015,-18.7414,-52.2867
South America,Medium,BRA,BRA0029119,Santo AntÃ´nio do CaiapÃ³,30,2012,2006,2015,-16.4433,-51.3914
South America,Small,BRA,BRA0029137,SÃ£o MaurÃ­cio,2.5,2010,2004,2013,-28.1356,-49.1219
South America,Small,BRA,BRA0029139,Nova FÃ¡tima,4.1,2012,2006,2015,-28.0411,-49.13
South America,Small,BRA,BRA0029140,Rio Fortuna,6.85,2012,2006,2015,-28.1217,-49.1356
South America,Medium,BRA,BRA0029141,Barra do Rio ChapÃ©u,15.15,2013,2007,2016,-28.0678,-49.1508
South America,Medium,BRA,BRA0029145,FigueirÃ³polis,19.41,2010,2004,2013,-15.3926,-58.6378
South America,Small,BRA,BRA0029154,Mestre,2,2015,2009,2018,-15.9781,-55.3594
South America,Medium,BRA,BRA0029159,Rodeio Bonito,14.68,2009,2003,2012,-27.1106,-52.4806
South America,Small,BRA,BRA0029163,Coronel AraÃºjo,5.8,2007,2001,2010,-26.6725,-51.7525
South America,Small,BRA,BRA0029165,Contestado,5.6,2007,2001,2010,-26.6733,-51.7169
South America,Medium,BRA,BRA0029180,CantÃº 2,19.8071,2015,2009,2018,-24.7458,-52.4681
South America,Medium,BRA,BRA0029184,BocaiÃºva,30,2010,2004,2013,-12.5303,-57.8808
South America,Small,BRA,BRA0029217,Caju,3.2,2007,2001,2010,-26.9517,-52.4594
South America,Small,BRA,BRA0029225,Cachoeirinha,1,2007,2001,2010,-26.7706,-52.1786
South America,Medium,BRA,BRA0029245,Engenheiro Ernesto Jorge Dreher,17.87,2009,2003,2012,-29.1203,-53.3678
South America,Medium,BRA,BRA0029246,Engenheiro Henrique Kotzian,13,2011,2005,2014,-29.1306,-53.3156
South America,Small,BRA,BRA0029296,JacarÃ© Pepira,2,2010,2004,2013,-22.425,-48.02
South America,Small,BRA,BRA0029324,Serra,1,2011,2005,2014,-22.5169,-43.6922
South America,Medium,BRA,BRA0029332,JoÃ£o Borges,18.99,2013,2007,2016,-27.7178,-50.6569
South America,Medium,BRA,BRA0029367,GraÃ§a Brennand (Antiga Terra Santa),27.4,2008,2002,2011,-14.793,-57.9672
South America,Small,BRA,BRA0029373,Cascata Chupinguaia,9.6,2009,2003,2012,-12.7139,-60.8717
South America,Medium,BRA,BRA0029376,Pampeana,27.99,2009,2003,2012,-14.8301,-57.9116
South America,Small,BRA,BRA0029430,Santa Izabel,1,2009,2003,2012,-20.4183,-54.4197
South America,Medium,BRA,BRA0029434,Santa Cruz de Monte Negro,17.01,2014,2008,2017,-10.2303,-63.2336
South America,Medium,BRA,BRA0029435,Jamari,20,2015,2009,2018,-9.9537,-63.0917
South America,Medium,BRA,BRA0029436,CanaÃ£,17,2015,2009,2018,-9.9439,-63.0642
South America,Medium,BRA,BRA0029453,Baguari,140.544,2009,2003,2012,-19.022,-42.123
South America,Medium,BRA,BRA0029454,Batalha (Antiga Paulista),52.5,2014,2008,2017,-17.35,-47.4833
South America,Medium,BRA,BRA0029455,Engenheiro JosÃ© Luiz Muller de Godoy Pereira (Antiga Foz do Rio Claro),68.4,2010,2004,2013,-19.1178,-50.6456
South America,Medium,BRA,BRA0029456,Passo SÃ£o JoÃ£o,77,2012,2006,2015,-28.1394,-55.0478
South America,Medium,BRA,BRA0029457,Retiro Baixo,83.657,2010,2004,2013,-18.8944,-44.7817
South America,Large,BRA,BRA0029458,Simplício,305.7,2013,2007,2016,-21.9211,-42.7903
South America,Medium,BRA,BRA0029459,SÃ£o JosÃ©,51,2011,2005,2014,-28.18,-54.825
South America,Small,BRA,BRA0029514,Albano Machado,3,2011,2005,2014,-27.4967,-52.8036
South America,Small,BRA,BRA0029517,Rio Suspiro,1,2010,2004,2013,-15.0625,-53.9433
South America,Small,BRA,BRA0029518,CÃ³rrego Santa Cruz,1,2010,2004,2013,-12.6456,-58.3189
South America,Small,BRA,BRA0029560,Barra Escondida,2.25,2009,2003,2012,-26.9039,-53.0297
South America,Small,BRA,BRA0029589,Wasser Kraft,1.4,2009,2003,2012,-26.4464,-53.405
South America,Small,BRA,BRA0029590,Ãndio CondÃ¡,2.9,2015,2009,2018,-27.1382,-52.7004
South America,Medium,BRA,BRA0029597,Dardanelos,261,2011,2005,2014,-10.1633,-59.4642
